A,B,C,D,E,F,G,H,I,action
-1,9.546072,7.481588,2.434323,1.730263,9.722829,0.2791691,-34.00627,19.70355,LEFT_ACCELERATE
-1,9.285615,7.594516,2.483488,1.608065,10.4581,0.2791648,-32.74052,19.80185,ACCELERATE
-1,8.815147,7.574277,2.968797,1.670109,11.23465,0.2791626,-31.45252,19.90283,ACCELERATE
-1,8.2713,7.44336,4.071336,1.908726,12.01282,0.2791604,-30.19654,20.00203,ACCELERATE
-1,7.730088,7.196199,6.044307,2.288148,12.79882,0.2791601,-28.91494,20.10298,LEFT_ACCELERATE
-1,7.382307,6.833458,6.773881,2.649062,13.48611,0.2791692,-27.5863,20.20357,LEFT_ACCELERATE
-1,7.244544,6.5085,6.272142,2.895264,13.99584,0.2791834,-26.18352,20.30402,LEFT_ACCELERATE
-1,7.111294,6.287343,6.195946,3.107744,14.36153,0.2791745,-24.74757,20.4036,LEFT_ACCELERATE
-1,6.794171,6.067093,6.698326,3.39894,14.6933,0.2791664,-23.32035,20.50199,ACCELERATE
-1,6.381955,5.752412,7.424007,3.776206,15.05612,0.2791619,-21.85883,20.6031,LEFT_ACCELERATE
-1,6.173496,5.37277,7.481026,4.069056,15.3809,0.2791617,-20.38509,20.70447,LEFT_ACCELERATE
-1,6.134302,5.090028,7.267296,4.247361,15.59529,0.2791642,-18.93448,20.80298,LEFT_ACCELERATE
-1,5.920815,4.884768,7.539515,4.44226,15.79384,0.2791619,-17.46788,20.90234,ACCELERATE
-1,5.654095,4.66556,7.914096,4.661786,16.01078,0.2791623,-15.98546,21.00293,ACCELERATE
-1,5.377374,4.437945,8.3029,4.889691,16.23635,0.2791612,-14.51688,21.10268,ACCELERATE
-1,5.086087,4.197977,8.711935,5.12984,16.47256,0.2791606,-13.02373,21.20417,LEFT_ACCELERATE
-1,4.955883,3.975861,8.672179,5.307049,16.67014,0.2791604,-11.58314,21.30183,LEFT_ACCELERATE
-1,5.213264,3.862691,7.942976,5.347832,16.74135,0.279171,-10.08647,21.40261,LEFT_ACCELERATE
-1,5.600781,3.913192,7.389609,5.287462,16.68122,0.2791686,-8.600235,21.50255,LEFT_ACCELERATE
-1,5.759068,3.993201,7.225672,5.208534,16.60353,0.2791639,-7.138785,21.60081,ACCELERATE
-1,5.851332,4.05817,7.13717,5.143522,16.53942,0.2791609,-5.577703,21.7057,ACCELERATE
-1,5.920991,4.107326,7.07031,5.094332,16.49085,0.2791604,-4.117668,21.80378,ACCELERATE
-1,5.70962,4.122203,7.33827,5.079832,16.48155,0.2791617,-1.125686,22.00474,ACCELERATE
-1,5.652889,4.083507,7.398606,5.118639,16.51963,0.2791608,0.3121365,22.1013,ACCELERATE
-1,5.600065,4.045217,7.453692,5.156922,16.55772,0.2791607,1.842843,22.20409,ACCELERATE
-1,5.552558,4.010716,7.503185,5.191414,16.59272,0.2791594,3.315389,22.30297,ACCELERATE
